,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8742340686274511,18,21,0.8571428571428571,853,1030,0.8281553398058252,3,5,10,10,15,0.3
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,21,21,1.0,820,1030,0.7961165048543689,3,5,10,10,15,0.3
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,21,21,1.0,802,1030,0.7786407766990291,3,5,10,10,15,0.3
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,20,21,0.9523809523809523,838,1030,0.8135922330097087,3,5,10,10,15,0.3
linear svm (L),0.7761194029850746,0.5192307692307693,0.84375,0.6428571428571429,0.886029411764706,18,21,0.8571428571428571,462,1030,0.44854368932038835,3,5,10,10,15,0.3
non-linear svm (L),0.7313432835820896,0.46296296296296297,0.78125,0.5813953488372093,0.8412990196078431,18,21,0.8571428571428571,492,1030,0.47766990291262135,3,5,10,10,15,0.3
logistic regression (L),0.8134328358208955,0.8181818181818182,0.28125,0.41860465116279066,0.8799019607843137,21,21,1.0,524,1030,0.5087378640776699,3,5,10,10,15,0.3
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,18,21,0.8571428571428571,848,1030,0.8233009708737864,3,5,10,10,15,0.3
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,21,21,1.0,894,1030,0.8679611650485437,3,5,10,10,15,0.3
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,21,21,1.0,858,1030,0.8330097087378641,3,5,10,10,15,0.3
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,7,21,0.3333333333333333,461,1030,0.4475728155339806,3,5,10,10,15,0.3
