,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8742340686274511,48,51,0.9411764705882353,2990,3436,0.870197904540163,3,5,10,10,15,0
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,51,51,1.0,2887,3436,0.840221187427241,3,5,10,10,15,0
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,51,51,1.0,2824,3436,0.8218859138533178,3,5,10,10,15,0
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,50,51,0.9803921568627451,2930,3436,0.8527357392316647,3,5,10,10,15,0
linear svm (L),0.6865671641791045,0.421875,0.84375,0.5625,0.8161764705882353,50,51,0.9803921568627451,1488,3436,0.4330616996507567,3,5,10,10,15,0
non-linear svm (L),0.5522388059701493,0.3372093023255814,0.90625,0.49152542372881364,0.7904411764705883,48,51,0.9411764705882353,1568,3436,0.4563445867287544,3,5,10,10,15,0
logistic regression (L),0.8208955223880597,0.75,0.375,0.5,0.8648897058823529,51,51,1.0,1643,3436,0.47817229336437717,3,5,10,10,15,0
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,48,51,0.9411764705882353,2967,3436,0.8635040745052387,3,5,10,10,15,0
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,51,51,1.0,3095,3436,0.9007566938300349,3,5,10,10,15,0
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,51,51,1.0,2992,3436,0.8707799767171129,3,5,10,10,15,0
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,22,51,0.43137254901960786,1687,3436,0.4909778812572759,3,5,10,10,15,0
