,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8742340686274511,0,2,0.0,0,34,0.0,3,5,10,10,15,0.7
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,2,2,1.0,2,34,0.058823529411764705,3,5,10,10,15,0.7
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,2,2,1.0,6,34,0.17647058823529413,3,5,10,10,15,0.7
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,1,2,0.5,2,34,0.058823529411764705,3,5,10,10,15,0.7
linear svm (L),0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.8713235294117646,0,2,0.0,0,34,0.0,3,5,10,10,15,0.7
non-linear svm (L),0.6940298507462687,0.43283582089552236,0.90625,0.5858585858585859,0.8814338235294117,0,2,0.0,0,34,0.0,3,5,10,10,15,0.7
logistic regression (L),0.835820895522388,0.6666666666666666,0.625,0.6451612903225806,0.8909313725490198,2,2,1.0,4,34,0.11764705882352941,3,5,10,10,15,0.7
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,0,2,0.0,0,34,0.0,3,5,10,10,15,0.7
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,2,2,1.0,6,34,0.17647058823529413,3,5,10,10,15,0.7
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,2,2,1.0,3,34,0.08823529411764706,3,5,10,10,15,0.7
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,0,2,0.0,0,34,0.0,3,5,10,10,15,0.7
