,rule,support,confidence,lift
1,Glucose_High → Outcome,0.1529850746268656,0.7321428571428572,2.109831029185868
92,Glucose_High BMI_Medium → Outcome,0.1044776119402985,0.7567567567567567,2.180761406567858
94,Glucose_High → BMI_Medium,0.1044776119402985,0.5,2.126984126984127
94,Glucose_High → Outcome,0.1044776119402985,0.5,2.126984126984127
158,SkinThickness_Low Pregnancies_Low → BMI_Low,0.1641791044776119,0.5641025641025641,1.7785822021116138
161,BMI_Low → SkinThickness_Low,0.1641791044776119,0.5176470588235293,1.7785822021116136
161,BMI_Low → Pregnancies_Low,0.1641791044776119,0.5176470588235293,1.7785822021116136
290,SkinThickness_Low Age_Low → BMI_Low,0.166044776119403,0.55625,1.7538235294117646
293,BMI_Low → SkinThickness_Low,0.166044776119403,0.5235294117647059,1.753823529411765
293,BMI_Low → Age_Low,0.166044776119403,0.5235294117647059,1.753823529411765
338,SkinThickness_Low Glucose_Medium Pregnancies_Low → BMI_Low,0.1156716417910447,0.5740740740740741,1.8100217864923749
341,Glucose_Medium Pregnancies_Low BMI_Low → SkinThickness_Low,0.1156716417910447,0.7209302325581396,1.623607582567911
343,Glucose_Medium BMI_Low → SkinThickness_Low,0.1156716417910447,0.5688073394495413,1.9543636791343213
343,Glucose_Medium BMI_Low → Pregnancies_Low,0.1156716417910447,0.5688073394495413,1.9543636791343213
344,Pregnancies_Low BMI_Low → SkinThickness_Low,0.1156716417910447,0.5,1.7866666666666668
344,Pregnancies_Low BMI_Low → Glucose_Medium,0.1156716417910447,0.5,1.7866666666666668
435,SkinThickness_Low DiabetesPedigreeFunction_Low Pregnancies_Low → BMI_Low,0.1082089552238805,0.5858585858585859,1.8471776589423647
438,DiabetesPedigreeFunction_Low Pregnancies_Low BMI_Low → SkinThickness_Low,0.1082089552238805,0.7341772151898733,1.6534411232847568
439,DiabetesPedigreeFunction_Low BMI_Low → SkinThickness_Low,0.1082089552238805,0.537037037037037,1.845204178537512
439,DiabetesPedigreeFunction_Low BMI_Low → Pregnancies_Low,0.1082089552238805,0.537037037037037,1.845204178537512
440,SkinThickness_Low Pregnancies_Low Age_Low → BMI_Low,0.1417910447761194,0.5671641791044776,1.788235294117647
445,Pregnancies_Low BMI_Low → SkinThickness_Low,0.1417910447761194,0.6129032258064516,2.053225806451613
445,Pregnancies_Low BMI_Low → Age_Low,0.1417910447761194,0.6129032258064516,2.053225806451613
446,Age_Low BMI_Low → SkinThickness_Low,0.1417910447761194,0.5801526717557252,1.9933450773145427
446,Age_Low BMI_Low → Pregnancies_Low,0.1417910447761194,0.5801526717557252,1.9933450773145427
461,Pregnancies_Low SkinThickness_Medium → BMI_Medium,0.1623134328358209,0.564935064935065,1.610665929814866
461,Pregnancies_Low SkinThickness_Medium → Age_Low,0.1623134328358209,0.564935064935065,1.610665929814866
509,SkinThickness_Low Glucose_Medium Age_Low → BMI_Low,0.1082089552238805,0.5631067961165048,1.7754426042261562
513,Glucose_Medium BMI_Low → SkinThickness_Low,0.1082089552238805,0.5321100917431192,1.7825688073394494
513,Glucose_Medium BMI_Low → Age_Low,0.1082089552238805,0.5321100917431192,1.7825688073394494
552,SkinThickness_Low DiabetesPedigreeFunction_Low Age_Low → BMI_Low,0.1082089552238805,0.5742574257425742,1.8105998835177632
556,DiabetesPedigreeFunction_Low BMI_Low → SkinThickness_Low,0.1082089552238805,0.537037037037037,1.799074074074074
556,DiabetesPedigreeFunction_Low BMI_Low → Age_Low,0.1082089552238805,0.537037037037037,1.799074074074074
596,BloodPressure_Medium Pregnancies_Low SkinThickness_Medium → BMI_Medium,0.1119402985074626,0.6122448979591837,1.7455492835432045
596,BloodPressure_Medium Pregnancies_Low SkinThickness_Medium → Age_Low,0.1119402985074626,0.6122448979591837,1.7455492835432045
598,BloodPressure_Medium BMI_Medium Pregnancies_Low → Age_Low,0.1119402985074626,0.5357142857142857,1.6890756302521006
598,BloodPressure_Medium BMI_Medium Pregnancies_Low → SkinThickness_Medium,0.1119402985074626,0.5357142857142857,1.6890756302521006
622,DiabetesPedigreeFunction_Low Age_Low SkinThickness_Medium → BMI_Medium,0.1007462686567164,0.5294117647058824,1.6497948016415869
622,DiabetesPedigreeFunction_Low Age_Low SkinThickness_Medium → Pregnancies_Low,0.1007462686567164,0.5294117647058824,1.6497948016415869
625,Pregnancies_Low DiabetesPedigreeFunction_Low SkinThickness_Medium → BMI_Medium,0.1007462686567164,0.5684210526315789,1.6206047032474804
625,Pregnancies_Low DiabetesPedigreeFunction_Low SkinThickness_Medium → Age_Low,0.1007462686567164,0.5684210526315789,1.6206047032474804
