,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8045977011494253,4,5,0.8,70,100,0.7,4,5,10,10,15,0.8
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,4,5,0.8,71,100,0.71,4,5,10,10,15,0.8
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,5,5,1.0,74,100,0.74,4,5,10,10,15,0.8
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,5,5,1.0,75,100,0.75,4,5,10,10,15,0.8
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.223037417461482,3,5,0.6,65,100,0.65,4,5,10,10,15,0.8
non-linear svm (L),0.7686567164179104,0.6379310344827587,0.7872340425531915,0.7047619047619048,0.8522866226461238,2,5,0.4,12,100,0.12,4,5,10,10,15,0.8
logistic regression (L),0.7835820895522388,0.8214285714285714,0.48936170212765956,0.6133333333333333,0.8694057226705796,3,5,0.6,15,100,0.15,4,5,10,10,15,0.8
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,5,5,1.0,71,100,0.71,4,5,10,10,15,0.8
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,5,5,1.0,77,100,0.77,4,5,10,10,15,0.8
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,5,5,1.0,76,100,0.76,4,5,10,10,15,0.8
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,3,5,0.6,65,100,0.65,4,5,10,10,15,0.8
