,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8733149509803922,1,2,0.5,32,53,0.6037735849056604,3,5,10,10,15,0.6
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,2,2,1.0,33,53,0.6226415094339622,3,5,10,10,15,0.6
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,2,2,1.0,36,53,0.6792452830188679,3,5,10,10,15,0.6
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,2,2,1.0,34,53,0.6415094339622641,3,5,10,10,15,0.6
linear svm (L),0.6044776119402985,0.3561643835616438,0.8125,0.4952380952380952,0.7181372549019609,2,2,1.0,16,53,0.3018867924528302,3,5,10,10,15,0.6
non-linear svm (L),0.7686567164179104,0.509090909090909,0.875,0.6436781609195402,0.8823529411764706,1,2,0.5,1,53,0.018867924528301886,3,5,10,10,15,0.6
logistic regression (L),0.835820895522388,0.6666666666666666,0.625,0.6451612903225806,0.889093137254902,1,2,0.5,3,53,0.05660377358490566,3,5,10,10,15,0.6
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,1,2,0.5,32,53,0.6037735849056604,3,5,10,10,15,0.6
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,2,2,1.0,36,53,0.6792452830188679,3,5,10,10,15,0.6
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,2,2,1.0,34,53,0.6415094339622641,3,5,10,10,15,0.6
