,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,4,4,1.0,89,114,0.7807017543859649,0,5,10,5,15,0.6
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,4,4,1.0,93,114,0.8157894736842105,0,5,10,5,15,0.6
RuleFit Classifier (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8101010101010101,4,4,1.0,95,114,0.8333333333333334,0,5,10,5,15,0.6
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,4,4,1.0,92,114,0.8070175438596491,0,5,10,5,15,0.6
linear svm (L),0.6492537313432836,0.4810126582278481,0.8636363636363636,0.6178861788617886,0.7803030303030304,4,4,1.0,22,114,0.19298245614035087,0,5,10,5,15,0.6
non-linear svm (L),0.664179104477612,0.4918032786885246,0.6818181818181818,0.5714285714285714,0.7939393939393938,3,4,0.75,15,114,0.13157894736842105,0,5,10,5,15,0.6
logistic regression (L),0.753731343283582,0.6666666666666666,0.5,0.5714285714285715,0.7878787878787878,2,4,0.5,7,114,0.06140350877192982,0,5,10,5,15,0.6
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,4,4,1.0,89,114,0.7807017543859649,0,5,10,5,15,0.6
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,4,4,1.0,92,114,0.8070175438596491,0,5,10,5,15,0.6
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,4,4,1.0,90,114,0.7894736842105263,0,5,10,5,15,0.6
