,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8754595588235294,15,18,0.8333333333333334,400,433,0.9237875288683602,3,5,10,10,15,0.2
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,16,18,0.8888888888888888,399,433,0.9214780600461894,3,5,10,10,15,0.2
RuleFit Classifier (conti),0.7611940298507462,0.5,0.625,0.5555555555555556,0.8155637254901961,18,18,1.0,405,433,0.9353348729792148,3,5,10,10,15,0.2
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,17,18,0.9444444444444444,402,433,0.9284064665127021,3,5,10,10,15,0.2
linear svm (L),0.664179104477612,0.41333333333333333,0.96875,0.5794392523364486,0.8446691176470589,10,18,0.5555555555555556,148,433,0.3418013856812933,3,5,10,10,15,0.2
non-linear svm (L),0.6865671641791045,0.42857142857142855,0.9375,0.588235294117647,0.8838848039215687,14,18,0.7777777777777778,146,433,0.3371824480369515,3,5,10,10,15,0.2
logistic regression (L),0.835820895522388,0.6923076923076923,0.5625,0.6206896551724138,0.8915441176470589,9,18,0.5,41,433,0.09468822170900693,3,5,10,10,15,0.2
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,16,18,0.8888888888888888,401,433,0.9260969976905312,3,5,10,10,15,0.2
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,17,18,0.9444444444444444,406,433,0.9376443418013857,3,5,10,10,15,0.2
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,17,18,0.9444444444444444,403,433,0.930715935334873,3,5,10,10,15,0.2
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,13,18,0.7222222222222222,395,433,0.9122401847575058,3,5,10,10,15,0.2
