,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.2719412099148761,2,1,89,89,1,
3,Glucose_Low → ¬ Outcome,-1.3926551170259551,2,5,32,32,1,
5,Glucose_High → Outcome,1.3339385074995895,2,5,0,21,0,
12,BMI_Low → ¬ Outcome,-0.5849388575176577,2,2,44,44,1,
14,BMI_High → Outcome,0.0178484212669229,2,0,0,16,0,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.3275000312572542,2,1,84,84,1,
18,Age_Low → ¬ Outcome,-0.231911272780992,2,1,87,87,1,
19,Age_Medium → Outcome,0.1003501352663183,2,0,0,29,0,
469,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ BloodPressure_High ⊗ SkinThickness_Low ⊗ BMI_Medium ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4497017251379075,7,2,3,3,1,
487,Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_Low ⊗ ¬ Age_Medium ⊗ ¬ SkinThickness_High ⊗ ¬ Pregnancies_Medium → Outcome,0.4299237143958143,7,2,0,5,0,
1333,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ ¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ Age_High ⊗ ¬ SkinThickness_Medium → ¬ Outcome,-0.0090976523592609,11,0,5,5,1,
1784,BMI_Medium ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_High → Outcome,0.0794769160448198,6,0,0,3,0,¬
1882,¬ Glucose_High ⊗ ¬ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ Pregnancies_Low ⊗ BMI_Medium ⊗ ¬ Age_High → ¬ Outcome,-0.1702920683549754,10,0,12,12,1,
2360,BMI_Low ⊗ ¬ Age_Medium ⊗ Pregnancies_Low ⊗ BloodPressure_Low → ¬ Outcome,-0.5552466174026142,5,2,7,7,1,
2857,Pregnancies_Low ⊗ BMI_Medium ⊗ ¬ Glucose_Low ⊗ ¬ Age_High ⊗ ¬ SkinThickness_High ⊗ ¬ Age_Low → Outcome,0.0457311545740041,7,0,0,6,0,
3039,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Low → ¬ Outcome,-0.2527725495341891,8,1,5,5,1,
3368,Age_Low ⊗ ¬ Glucose_Low ⊗ ¬ BloodPressure_High ⊗ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ Glucose_Medium ⊗ ¬ BMI_Medium → ¬ Outcome,-0.0126749046115485,8,0,11,11,1,
4038,¬ Glucose_High ⊗ Age_Low ⊗ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.0669634962503011,6,0,5,5,1,
4190,BMI_Low ⊗ ¬ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → ¬ Outcome,-0.4901902539419693,5,2,5,5,1,
4317,¬ BMI_Low ⊗ Glucose_High ⊗ ¬ Pregnancies_High ⊗ Age_Medium ⊗ DiabetesPedigreeFunction_Low → Outcome,0.0534087207106066,6,0,0,4,0,
4690,Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Medium → ¬ Outcome,-0.0240954773134452,4,0,2,2,1,
4701,Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_High ⊗ ¬ BMI_High ⊗ ¬ Age_High ⊗ SkinThickness_Low ⊗ BMI_Medium → Outcome,0.3318858815113424,10,1,0,2,0,
4950,¬ Age_Medium ⊗ DiabetesPedigreeFunction_High ⊗ ¬ BMI_Medium → ¬ Outcome,-0.232086230787602,4,1,3,3,1,
6233,Age_Low ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BMI_Medium → ¬ Outcome,-0.0393396026967073,5,0,10,10,1,
7826,Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Medium ⊗ BloodPressure_Medium → ¬ Outcome,-0.2155090570519487,9,1,11,11,1,
8271,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Pregnancies_Medium ⊗ BMI_Medium ⊗ Pregnancies_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.3610303050285696,12,1,11,11,1,
8344,¬ Glucose_High ⊗ Glucose_Low ⊗ ¬ Pregnancies_Low → ¬ Outcome,-0.0275886456208485,4,0,8,8,1,
8658,¬ Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_Low → Outcome,0.0759448982021542,6,0,0,4,0,
8886,¬ BMI_Low ⊗ Age_Medium ⊗ ¬ Glucose_Low ⊗ Glucose_High ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_High → Outcome,0.0492156503457617,7,0,0,4,0,
10478,¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Age_High ⊗ ¬ Pregnancies_Low ⊗ BloodPressure_Medium → Outcome,0.1762472021056231,10,0,0,3,0,
10564,¬ BMI_Low ⊗ Pregnancies_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.3122808720511325,4,1,0,5,0,
10939,¬ Age_Low ⊗ ¬ BMI_High ⊗ BloodPressure_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ Pregnancies_High → Outcome,0.5572856333583853,6,2,0,5,0,
10979,Age_Low ⊗ ¬ Glucose_High ⊗ ¬ BMI_Medium ⊗ Glucose_Low → ¬ Outcome,-0.0011763107286311,5,0,10,10,1,¬
11814,BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_High ⊗ Pregnancies_Low ⊗ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Age_High → ¬ Outcome,-0.2265622476798075,8,1,14,14,1,
12194,Pregnancies_Low ⊗ ¬ BloodPressure_High ⊗ ¬ Glucose_Low ⊗ BMI_Low ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.0103289695656822,6,0,3,3,1,
12448,¬ BMI_Low ⊗ Age_Medium ⊗ Glucose_High ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High → Outcome,0.1104961771609612,6,0,0,4,0,
12472,BMI_Low ⊗ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BloodPressure_Medium ⊗ ¬ Age_High ⊗ Glucose_Medium ⊗ ¬ Pregnancies_Medium → ¬ Outcome,-0.0863001037947953,8,0,8,8,1,
12734,Glucose_Low ⊗ Pregnancies_Medium → ¬ Outcome,-0.0039535789731279,3,0,2,2,1,
