,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.2719412099148761,2,1,89,89,1,
3,Glucose_Low → ¬ Outcome,-1.3926551170259551,2,5,32,32,1,
5,Glucose_High → Outcome,1.3339385074995895,2,5,0,21,0,
12,BMI_Low → ¬ Outcome,-0.5849388575176577,2,2,44,44,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.3275000312572542,2,1,84,84,1,
18,Age_Low → ¬ Outcome,-0.231911272780992,2,1,87,87,1,
469,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ BloodPressure_High ⊗ SkinThickness_Low ⊗ BMI_Medium ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4497017251379075,7,2,3,3,1,
487,Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_Low ⊗ ¬ Age_Medium ⊗ ¬ SkinThickness_High ⊗ ¬ Pregnancies_Medium → Outcome,0.4299237143958143,7,2,0,5,0,
2360,BMI_Low ⊗ ¬ Age_Medium ⊗ Pregnancies_Low ⊗ BloodPressure_Low → ¬ Outcome,-0.5552466174026142,5,2,7,7,1,
3039,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Low → ¬ Outcome,-0.2527725495341891,8,1,5,5,1,
4190,BMI_Low ⊗ ¬ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → ¬ Outcome,-0.4901902539419693,5,2,5,5,1,
4701,Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_High ⊗ ¬ BMI_High ⊗ ¬ Age_High ⊗ SkinThickness_Low ⊗ BMI_Medium → Outcome,0.3318858815113424,10,1,0,2,0,
4950,¬ Age_Medium ⊗ DiabetesPedigreeFunction_High ⊗ ¬ BMI_Medium → ¬ Outcome,-0.232086230787602,4,1,3,3,1,
7826,Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Medium ⊗ BloodPressure_Medium → ¬ Outcome,-0.2155090570519487,9,1,11,11,1,
8271,¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Pregnancies_Medium ⊗ BMI_Medium ⊗ Pregnancies_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.3610303050285696,12,1,11,11,1,
10564,¬ BMI_Low ⊗ Pregnancies_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.3122808720511325,4,1,0,5,0,
10939,¬ Age_Low ⊗ ¬ BMI_High ⊗ BloodPressure_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ Pregnancies_High → Outcome,0.5572856333583853,6,2,0,5,0,
11814,BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_High ⊗ Pregnancies_Low ⊗ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Age_High → ¬ Outcome,-0.2265622476798075,8,1,14,14,1,
