,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,4,4,1.0,89,114,0.7807017543859649,0,5,10,10,100,0.6
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,4,4,1.0,93,114,0.8157894736842105,0,5,10,10,100,0.6
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,4,4,1.0,96,114,0.8421052631578947,0,5,10,10,100,0.6
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,4,4,1.0,92,114,0.8070175438596491,0,5,10,10,100,0.6
linear svm (L),0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.24090909090909093,3,4,0.75,88,114,0.7719298245614035,0,5,10,10,100,0.6
non-linear svm (L),0.6791044776119403,0.5094339622641509,0.6136363636363636,0.556701030927835,0.7840909090909091,3,4,0.75,12,114,0.10526315789473684,0,5,10,10,100,0.6
logistic regression (L),0.7985074626865671,0.8148148148148148,0.5,0.6197183098591549,0.7994949494949494,2,4,0.5,8,114,0.07017543859649122,0,5,10,10,100,0.6
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,4,4,1.0,89,114,0.7807017543859649,0,5,10,10,100,0.6
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,4,4,1.0,92,114,0.8070175438596491,0,5,10,10,100,0.6
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,4,4,1.0,90,114,0.7894736842105263,0,5,10,10,100,0.6
