,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8043531425776472,6,6,1.0,149,256,0.58203125,4,5,10,10,15,0.4
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,6,6,1.0,151,256,0.58984375,4,5,10,10,15,0.4
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,6,6,1.0,154,256,0.6015625,4,5,10,10,15,0.4
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,6,6,1.0,171,256,0.66796875,4,5,10,10,15,0.4
linear svm (L),0.2835820895522388,0.23076923076923078,0.44680851063829785,0.30434782608695654,0.21716801173881142,6,6,1.0,113,256,0.44140625,4,5,10,10,15,0.4
non-linear svm (L),0.7761194029850746,0.6307692307692307,0.8723404255319149,0.7321428571428572,0.8650036683785767,5,6,0.8333333333333334,96,256,0.375,4,5,10,10,15,0.4
logistic regression (L),0.753731343283582,0.8181818181818182,0.3829787234042553,0.5217391304347826,0.8848129126925899,6,6,1.0,189,256,0.73828125,4,5,10,10,15,0.4
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,6,6,1.0,160,256,0.625,4,5,10,10,15,0.4
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,6,6,1.0,184,256,0.71875,4,5,10,10,15,0.4
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,6,6,1.0,174,256,0.6796875,4,5,10,10,15,0.4
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,0,6,0.0,0,256,0.0,4,5,10,10,15,0.4
