,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8043531425776472,1,1,1.0,5,29,0.1724137931034483,4,5,10,10,15,0.6
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,1,1,1.0,6,29,0.20689655172413793,4,5,10,10,15,0.6
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,1,1,1.0,7,29,0.2413793103448276,4,5,10,10,15,0.6
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,1,1,1.0,8,29,0.27586206896551724,4,5,10,10,15,0.6
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.20542920029347028,0,1,0.0,0,29,0.0,4,5,10,10,15,0.6
non-linear svm (L),0.7686567164179104,0.6379310344827587,0.7872340425531915,0.7047619047619048,0.851308388359012,0,1,0.0,0,29,0.0,4,5,10,10,15,0.6
logistic regression (L),0.7686567164179104,0.7857142857142857,0.46808510638297873,0.5866666666666668,0.8689166055270238,1,1,1.0,8,29,0.27586206896551724,4,5,10,10,15,0.6
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,1,1,1.0,4,29,0.13793103448275862,4,5,10,10,15,0.6
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,1,1,1.0,10,29,0.3448275862068966,4,5,10,10,15,0.6
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,1,1,1.0,9,29,0.3103448275862069,4,5,10,10,15,0.6
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,0,1,0.0,0,29,0.0,4,5,10,10,15,0.6
