,antecedents,consequents,support,confidence,lift,antecedents_length,n_violation,n_violation (instance),n_evaluation (instance)
0,Pregnancies_Low,¬ Age_Low,0.1585820895522388,0.2478134110787172,0.7767718616268563,1,1,87,87
1,Outcome,¬ Age_Low,0.1585820895522388,0.4970760233918129,0.7767718616268563,1,,,
2,Pregnancies_Medium,Outcome,0.1119402985074626,0.4225352112676057,1.3244378552013838,1,0,0,27
3,Outcome,Pregnancies_Medium,0.1119402985074626,0.3508771929824561,1.3244378552013838,1,,,
4,Glucose_Medium,¬ Age_Low,0.166044776119403,0.2807570977917981,0.8800339439555778,1,1,83,83
5,Outcome,¬ Age_Low,0.166044776119403,0.52046783625731,0.8800339439555778,1,,,
6,Glucose_High,Outcome,0.1380597014925373,0.7115384615384616,2.230319388214125,1,0,0,29
7,Outcome,Glucose_High,0.1380597014925373,0.4327485380116959,2.230319388214125,1,,,
8,BloodPressure_Medium,¬ Age_Low,0.210820895522388,0.3156424581005587,0.9893822078473652,1,1,78,78
9,Outcome,¬ Age_Low,0.210820895522388,0.6608187134502924,0.9893822078473652,1,,,
10,SkinThickness_Low,¬ Age_Low,0.1175373134328358,0.2658227848101265,0.8332222962469464,1,1,57,57
11,Outcome,¬ Age_Low,0.1175373134328358,0.368421052631579,0.8332222962469465,1,,,
12,SkinThickness_Medium,Outcome,0.166044776119403,0.356,1.1158830409356724,1,0,0,64
13,Outcome,SkinThickness_Medium,0.166044776119403,0.52046783625731,1.1158830409356726,1,,,
14,BMI_Medium,Outcome,0.2276119402985074,0.4121621621621621,1.291923502449818,1,0,0,78
15,Outcome,BMI_Medium,0.2276119402985074,0.7134502923976608,1.291923502449818,1,,,
16,DiabetesPedigreeFunction_Low,¬ Age_Low,0.1567164179104477,0.2608695652173913,0.8176964149504194,1,1,92,92
17,Outcome,¬ Age_Low,0.1567164179104477,0.4912280701754386,0.8176964149504196,1,,,
18,DiabetesPedigreeFunction_Medium,Outcome,0.1156716417910447,0.3780487804878049,1.1849950078448153,1,0,0,29
19,Outcome,DiabetesPedigreeFunction_Medium,0.1156716417910447,0.3625730994152046,1.1849950078448153,1,,,
20,Age_Low,¬ Age_Low,0.1716417910447761,0.2513661202185792,0.7879078388137922,1,1,87,87
21,Outcome,¬ Age_Low,0.1716417910447761,0.5380116959064327,0.7879078388137921,1,,,
22,Age_Medium,Outcome,0.1063432835820895,0.4710743801652892,1.4765840220385675,1,0,0,38
23,Outcome,Age_Medium,0.1063432835820895,0.3333333333333333,1.476584022038567,1,,,
24,Pregnancies_Low ⊗ BloodPressure_Medium,¬ Age_Low,0.1007462686567164,0.2432432432432432,0.7624466571834994,2,1,48,48
25,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1007462686567164,0.4778761061946903,0.7467684924791661,2,,,
26,Pregnancies_Low ⊗ Outcome,¬ Age_Low,0.1007462686567164,0.6352941176470588,0.951166611896155,2,,,
27,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.7624466571834992,1,,,
28,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.7624466571834992,1,,,
29,Pregnancies_Low ⊗ BMI_Medium,Outcome,0.1138059701492537,0.3505747126436782,1.0988774618538684,2,0,0,50
30,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1138059701492537,0.5,0.7813411078717201,2,,,
31,Pregnancies_Low ⊗ Outcome,BMI_Medium,0.1138059701492537,0.7176470588235293,1.2995230524642287,2,,,
32,BMI_Medium,Pregnancies_Low,0.1138059701492537,0.206081081081081,1.2995230524642287,1,,,
33,BMI_Medium,Outcome,0.1138059701492537,0.206081081081081,1.2995230524642287,1,0,0,78
34,Outcome,Pregnancies_Low,0.1138059701492537,0.3567251461988304,1.0988774618538684,1,,,
35,Outcome,BMI_Medium,0.1138059701492537,0.3567251461988304,1.0988774618538684,1,,,
36,Pregnancies_Low ⊗ Age_Low,¬ Age_Low,0.1231343283582089,0.2207357859531772,0.6918969664965088,2,1,76,76
37,Pregnancies_Low ⊗ Outcome,Age_Low,0.1231343283582089,0.776470588235294,1.137126325940212,2,,,
38,Outcome ⊗ Age_Low,Pregnancies_Low,0.1231343283582089,0.717391304347826,1.1210546330333375,2,,,
