,rule,coef,n_predicate,rank
0,Pregnancies_Low → ¬ Outcome,-0.3511792373952214,2,2
2,Pregnancies_High → Outcome,0.1467725981277469,2,1
3,Glucose_Low → ¬ Outcome,-0.4752008545974547,2,3
5,Glucose_High → Outcome,1.280783723594662,2,6
12,BMI_Low → ¬ Outcome,-0.6274656515012854,2,4
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4126484143496792,2,3
18,Age_Low → ¬ Outcome,-0.3117510760688031,2,2
19,Age_Medium → Outcome,0.0250126694762603,2,1
463,¬ Glucose_High ⊗ ¬ BMI_High ⊗ Pregnancies_High ⊗ ¬ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ Glucose_Low → ¬ Outcome,-0.0372972237401816,8,1
686,¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High ⊗ BloodPressure_Low → ¬ Outcome,-0.5310150957983116,8,3
1132,¬ Age_Medium ⊗ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.1972705724476106,6,1
1343,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ Age_Low ⊗ ¬ Glucose_High ⊗ BMI_Medium ⊗ Pregnancies_Low ⊗ SkinThickness_Medium ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0377789737127529,12,1
1347,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ Age_Low ⊗ Glucose_High ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.3809523442634774,8,2
1642,Age_Low ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Pregnancies_Medium ⊗ BMI_High ⊗ ¬ BloodPressure_Medium → Outcome,0.1681586037455222,9,1
1997,¬ Glucose_High ⊗ ¬ BMI_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_Low ⊗ DiabetesPedigreeFunction_Low ⊗ BloodPressure_Medium ⊗ ¬ BMI_High ⊗ Pregnancies_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ SkinThickness_High → Outcome,0.0942057061711976,11,1
