,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,9,12,0.75,229,264,0.8674242424242424,2,5,10,10,15,0.4
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,9,12,0.75,238,264,0.9015151515151515,2,5,10,10,15,0.4
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,9,12,0.75,231,264,0.875,2,5,10,10,15,0.4
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,9,12,0.75,233,264,0.8825757575757576,2,5,10,10,15,0.4
linear svm (L),0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.32040513833992096,8,12,0.6666666666666666,228,264,0.8636363636363636,2,5,10,10,15,0.4
non-linear svm (L),0.7313432835820896,0.5892857142857143,0.717391304347826,0.6470588235294118,0.8218873517786561,5,12,0.4166666666666667,50,264,0.1893939393939394,2,5,10,10,15,0.4
logistic regression (L),0.7835820895522388,0.8148148148148148,0.4782608695652174,0.6027397260273973,0.8149703557312253,6,12,0.5,27,264,0.10227272727272728,2,5,10,10,15,0.4
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,9,12,0.75,230,264,0.8712121212121212,2,5,10,10,15,0.4
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,10,12,0.8333333333333334,233,264,0.8825757575757576,2,5,10,10,15,0.4
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,9,12,0.75,231,264,0.875,2,5,10,10,15,0.4
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,8,12,0.6666666666666666,228,264,0.8636363636363636,2,5,10,10,15,0.4
