,rule,type,coef,support,importance
0,Pregnancies_Low,linear,-0.3619070638793313,1.0,0.17205674108680655
3,Glucose_Low,linear,-1.2402581623197608,1.0,0.49400854898588525
5,Glucose_High,linear,1.36415935794657,1.0,0.5452816109457405
12,BMI_Low,linear,-0.6666846274446411,1.0,0.30976477901657173
15,DiabetesPedigreeFunction_Low,linear,-0.360957193438052,1.0,0.17558260643847057
244,Pregnancies_Medium <= 0.5 & Glucose_High > 0.5 & Age_Medium <= 0.5 & BMI_Low <= 0.5 & DiabetesPedigreeFunction_Low <= 0.5,rule,0.4161621004694035,0.03235294117647059,0.07363391661217863
797,Glucose_High <= 0.5 & DiabetesPedigreeFunction_Low > 0.5 & BMI_Low > 0.5 & BloodPressure_High <= 0.5 & Pregnancies_Medium <= 0.5 & Age_High <= 0.5 & SkinThickness_Low > 0.5,rule,-0.24465541715858224,0.0927536231884058,0.07097132268554922
1350,Glucose_High <= 0.5 & Pregnancies_Low > 0.5 & Age_Low > 0.5 & BMI_Medium > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & SkinThickness_Low <= 0.5,rule,-0.6800044203579784,0.09144542772861357,0.19600549313257004
1638,Glucose_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5,rule,-0.3340929293928763,0.14739884393063585,0.11843696823934988
2415,BMI_Low > 0.5 & BloodPressure_Medium <= 0.5 & Pregnancies_High <= 0.5,rule,-0.48334996544029696,0.0943952802359882,0.14132082711055055
4344,BMI_Low <= 0.5 & Glucose_High <= 0.5 & Age_Low <= 0.5 & BMI_High <= 0.5 & BloodPressure_Low <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5 & Glucose_Low <= 0.5,rule,0.3536498070680827,0.02346041055718475,0.05352863350779797
5713,BMI_Low <= 0.5 & Age_High <= 0.5 & Glucose_Medium > 0.5 & BMI_Medium > 0.5 & BloodPressure_High > 0.5 & Pregnancies_Low <= 0.5,rule,-0.2007198702794186,0.02416918429003021,0.030825393446813034
6278,Pregnancies_Low <= 0.5 & Glucose_High <= 0.5 & Pregnancies_Medium <= 0.5 & SkinThickness_Medium <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & DiabetesPedigreeFunction_Low > 0.5,rule,-0.37190388141875136,0.028901734104046242,0.06230519374577211
6739,Glucose_High <= 0.5 & Pregnancies_Low > 0.5 & SkinThickness_High <= 0.5 & Glucose_Low <= 0.5 & Age_Low <= 0.5 & DiabetesPedigreeFunction_Low > 0.5 & SkinThickness_Low > 0.5 & BloodPressure_High <= 0.5,rule,0.2760047181761827,0.011869436201780416,0.029890881149690282
9630,Pregnancies_High <= 0.5 & Glucose_Medium > 0.5 & BMI_Medium > 0.5 & BloodPressure_Medium <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,-0.4592260074073966,0.026470588235294117,0.07371957284444931
9937,BMI_Low > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5,rule,-0.5596848950398495,0.07100591715976332,0.14374651710906794
11237,Pregnancies_Low <= 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5,rule,0.33209922673713815,0.03468208092485549,0.06076529659336254
