,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8279397233201581,25,25,1.0,1342,1512,0.8875661375661376,2,5,10,10,15,0.2
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,25,25,1.0,1344,1512,0.8888888888888888,2,5,10,10,15,0.2
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,25,25,1.0,1306,1512,0.8637566137566137,2,5,10,10,15,0.2
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,25,25,1.0,1338,1512,0.8849206349206349,2,5,10,10,15,0.2
linear svm (L),0.6492537313432836,0.4935064935064935,0.8260869565217391,0.6178861788617886,0.7586462450592885,24,25,0.96,622,1512,0.4113756613756614,2,5,10,10,15,0.2
non-linear svm (L),0.746268656716418,0.6071428571428571,0.7391304347826086,0.6666666666666666,0.8050889328063241,24,25,0.96,618,1512,0.4087301587301587,2,5,10,10,15,0.2
logistic regression (L),0.7164179104477612,0.9,0.1956521739130435,0.3214285714285714,0.8226284584980237,25,25,1.0,585,1512,0.3869047619047619,2,5,10,10,15,0.2
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,25,25,1.0,1319,1512,0.8723544973544973,2,5,10,10,15,0.2
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,25,25,1.0,1334,1512,0.8822751322751323,2,5,10,10,15,0.2
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,25,25,1.0,1327,1512,0.8776455026455027,2,5,10,10,15,0.2
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,13,25,0.52,906,1512,0.5992063492063492,2,5,10,10,15,0.2
