,rule,support,confidence,lift
1,Glucose_High → Outcome,0.1399253731343283,0.7075471698113207,2.204914436156209
27,Age_Medium → Pregnancies_Medium,0.1231343283582089,0.5116279069767442,1.944911759854857
151,SkinThickness_Low Pregnancies_Low → BMI_Low,0.1436567164179104,0.5273972602739726,1.6726919024073923
293,SkinThickness_Low Age_Low → BMI_Low,0.1585820895522388,0.5704697986577182,1.8093006631984436
296,BMI_Low → SkinThickness_Low,0.1585820895522388,0.5029585798816568,1.8093006631984436
296,BMI_Low → Age_Low,0.1585820895522388,0.5029585798816568,1.8093006631984436
336,SkinThickness_Low Glucose_Medium Pregnancies_Low → BMI_Low,0.1044776119402985,0.5333333333333333,1.6915187376725838
339,Glucose_Medium Pregnancies_Low BMI_Low → SkinThickness_Low,0.1044776119402985,0.7088607594936708,1.6306839789210623
384,Pregnancies_Low DiabetesPedigreeFunction_Medium → Glucose_Medium,0.1138059701492537,0.6630434782608695,1.6227913440540005
384,Pregnancies_Low DiabetesPedigreeFunction_Medium → Age_Low,0.1138059701492537,0.6630434782608695,1.6227913440540005
426,SkinThickness_Low DiabetesPedigreeFunction_Low Pregnancies_Low → BMI_Low,0.1044776119402985,0.5773195876288659,1.8310254376868171
429,DiabetesPedigreeFunction_Low Pregnancies_Low BMI_Low → SkinThickness_Low,0.1044776119402985,0.717948717948718,1.651590183779025
430,SkinThickness_Low Pregnancies_Low Age_Low → BMI_Low,0.125,0.5491803278688525,1.741779028033757
435,Pregnancies_Low BMI_Low → SkinThickness_Low,0.125,0.5929203539823009,2.132921541842371
435,Pregnancies_Low BMI_Low → Age_Low,0.125,0.5929203539823009,2.132921541842371
436,Age_Low BMI_Low → SkinThickness_Low,0.125,0.5275590551181103,1.936792147556898
436,Age_Low BMI_Low → Pregnancies_Low,0.125,0.5275590551181103,1.936792147556898
450,Pregnancies_Low SkinThickness_Medium → BMI_Medium,0.1716417910447761,0.5897435897435898,1.6994761510890544
450,Pregnancies_Low SkinThickness_Medium → Age_Low,0.1716417910447761,0.5897435897435898,1.6994761510890544
451,BMI_Medium Pregnancies_Low → Age_Low,0.1716417910447761,0.5139664804469274,1.6397978185687685
451,BMI_Medium Pregnancies_Low → SkinThickness_Medium,0.1716417910447761,0.5139664804469274,1.6397978185687685
452,Age_Low SkinThickness_Medium → BMI_Medium,0.1716417910447761,0.5476190476190476,1.639797818568768
452,Age_Low SkinThickness_Medium → Pregnancies_Low,0.1716417910447761,0.5476190476190476,1.639797818568768
501,SkinThickness_Low Glucose_Medium Age_Low → BMI_Low,0.1100746268656716,0.5784313725490197,1.8345515721081331
506,Glucose_Medium BMI_Low → SkinThickness_Low,0.1100746268656716,0.5221238938053098,1.8782443428164164
506,Glucose_Medium BMI_Low → Age_Low,0.1100746268656716,0.5221238938053098,1.8782443428164164
544,SkinThickness_Low DiabetesPedigreeFunction_Low Age_Low → BMI_Low,0.1100746268656716,0.6145833333333334,1.949211045364892
549,DiabetesPedigreeFunction_Low BMI_Low → SkinThickness_Low,0.1100746268656716,0.5086206896551725,1.8296690580884056
549,DiabetesPedigreeFunction_Low BMI_Low → Age_Low,0.1100746268656716,0.5086206896551725,1.8296690580884056
582,BloodPressure_Medium Age_Low SkinThickness_Medium → BMI_Medium,0.1175373134328358,0.5478260869565218,1.6404177799368471
582,BloodPressure_Medium Age_Low SkinThickness_Medium → Pregnancies_Low,0.1175373134328358,0.5478260869565218,1.6404177799368471
585,BloodPressure_Medium Pregnancies_Low SkinThickness_Medium → BMI_Medium,0.1175373134328358,0.6428571428571429,1.8525345622119815
585,BloodPressure_Medium Pregnancies_Low SkinThickness_Medium → Age_Low,0.1175373134328358,0.6428571428571429,1.8525345622119815
587,BloodPressure_Medium BMI_Medium Pregnancies_Low → Age_Low,0.1175373134328358,0.5526315789473685,1.7631578947368425
587,BloodPressure_Medium BMI_Medium Pregnancies_Low → SkinThickness_Medium,0.1175373134328358,0.5526315789473685,1.7631578947368425
613,DiabetesPedigreeFunction_Low Age_Low SkinThickness_Medium → BMI_Medium,0.1119402985074626,0.5607476635514019,1.6791103221427457
613,DiabetesPedigreeFunction_Low Age_Low SkinThickness_Medium → Pregnancies_Low,0.1119402985074626,0.5607476635514019,1.6791103221427457
616,Pregnancies_Low DiabetesPedigreeFunction_Low SkinThickness_Medium → BMI_Medium,0.1119402985074626,0.6060606060606061,1.746497230368198
616,Pregnancies_Low DiabetesPedigreeFunction_Low SkinThickness_Medium → Age_Low,0.1119402985074626,0.6060606060606061,1.746497230368198
617,DiabetesPedigreeFunction_Low BMI_Medium Age_Low → Pregnancies_Low,0.1119402985074626,0.5128205128205129,1.7619986850756084
617,DiabetesPedigreeFunction_Low BMI_Medium Age_Low → SkinThickness_Medium,0.1119402985074626,0.5128205128205129,1.7619986850756084
618,BMI_Medium DiabetesPedigreeFunction_Low Pregnancies_Low → Age_Low,0.1119402985074626,0.5172413793103449,1.6502463054187193
618,BMI_Medium DiabetesPedigreeFunction_Low Pregnancies_Low → SkinThickness_Medium,0.1119402985074626,0.5172413793103449,1.6502463054187193
