,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8279397233201581,3,3,1.0,38,85,0.4470588235294118,2,5,10,10,15,0.4
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,3,3,1.0,42,85,0.49411764705882355,2,5,10,10,15,0.4
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,3,3,1.0,35,85,0.4117647058823529,2,5,10,10,15,0.4
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,3,3,1.0,40,85,0.47058823529411764,2,5,10,10,15,0.4
linear svm (L),0.3358208955223881,0.3383458646616541,0.9782608695652174,0.5027932960893855,0.22826086956521738,2,3,0.6666666666666666,2,85,0.023529411764705882,2,5,10,10,15,0.4
non-linear svm (L),0.7388059701492538,0.6,0.717391304347826,0.6534653465346534,0.7989130434782609,2,3,0.6666666666666666,24,85,0.2823529411764706,2,5,10,10,15,0.4
logistic regression (L),0.7686567164179104,0.8571428571428571,0.391304347826087,0.5373134328358209,0.816699604743083,3,3,1.0,49,85,0.5764705882352941,2,5,10,10,15,0.4
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,3,3,1.0,36,85,0.4235294117647059,2,5,10,10,15,0.4
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,3,3,1.0,38,85,0.4470588235294118,2,5,10,10,15,0.4
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,3,3,1.0,37,85,0.43529411764705883,2,5,10,10,15,0.4
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,0,3,0.0,0,85,0.0,2,5,10,10,15,0.4
