,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
3,Glucose_Low → ¬ Outcome,-1.304996306173581,2,5,21,21,1,
5,Glucose_High → Outcome,1.130443142550248,2,5,0,30,0,
12,BMI_Low → ¬ Outcome,-0.9314959976587944,2,4,40,40,1,
18,Age_Low → ¬ Outcome,-0.5934952069268681,2,2,94,94,1,
181,¬ Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_High ⊗ BMI_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ Age_High → ¬ Outcome,-0.4286862939315959,7,2,17,17,1,
603,¬ Glucose_High ⊗ DiabetesPedigreeFunction_Low ⊗ Age_Medium ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Medium ⊗ SkinThickness_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ Glucose_Low → ¬ Outcome,-0.4153802081396752,9,2,2,2,1,
4962,BMI_Medium ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_Low ⊗ ¬ SkinThickness_Medium ⊗ Glucose_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.282865427495809,9,1,2,2,1,
5149,Pregnancies_Low ⊗ Age_Low ⊗ SkinThickness_Low ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.4783797228350329,5,2,10,10,1,
6448,¬ Glucose_Medium ⊗ Glucose_High ⊗ ¬ Age_High ⊗ ¬ BloodPressure_High ⊗ SkinThickness_Low → Outcome,0.4747459817366702,6,2,0,6,0,
7433,¬ Pregnancies_Low ⊗ ¬ BMI_High ⊗ DiabetesPedigreeFunction_Medium ⊗ Pregnancies_Medium ⊗ ¬ Glucose_Low ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Medium → Outcome,0.3514151410061611,8,1,0,10,0,
7854,DiabetesPedigreeFunction_High ⊗ Pregnancies_Low ⊗ ¬ BMI_Medium → ¬ Outcome,-0.40671429559075,4,2,2,2,1,
8133,¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ ¬ Age_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ BMI_Medium ⊗ ¬ SkinThickness_High → Outcome,0.465568552672499,8,2,0,3,0,
8181,¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ BloodPressure_Low ⊗ ¬ Age_Medium ⊗ ¬ Pregnancies_High → ¬ Outcome,-0.6639227752694369,6,3,9,9,1,
10106,¬ BMI_Low ⊗ Pregnancies_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.8507238877165608,4,4,0,3,0,
10909,¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_Medium → Outcome,1.1719327998892437,6,5,0,13,0,
11125,BloodPressure_High ⊗ ¬ Age_High ⊗ ¬ Age_Low ⊗ Glucose_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ Pregnancies_High → ¬ Outcome,-0.2531554964788156,7,1,1,1,1,
12292,¬ BMI_Low ⊗ ¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_Medium ⊗ BMI_Medium ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ BloodPressure_High → ¬ Outcome,-0.2086770116952112,10,1,1,1,1,
12471,Age_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ Glucose_Low ⊗ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ SkinThickness_High ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low → ¬ Outcome,-0.3381701788902974,11,1,8,8,1,
