,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,7,8,0.875,124,152,0.8157894736842105,0,5,10,10,15,0.4
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,7,8,0.875,128,152,0.8421052631578947,0,5,10,10,15,0.4
RuleFit Classifier (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8101010101010101,8,8,1.0,131,152,0.8618421052631579,0,5,10,10,15,0.4
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,8,8,1.0,128,152,0.8421052631578947,0,5,10,10,15,0.4
linear svm (L),0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.6424242424242423,6,8,0.75,123,152,0.8092105263157895,0,5,10,10,15,0.4
non-linear svm (L),0.6716417910447762,0.5,0.6818181818181818,0.576923076923077,0.7946969696969698,6,8,0.75,23,152,0.1513157894736842,0,5,10,10,15,0.4
logistic regression (L),0.753731343283582,0.6666666666666666,0.5,0.5714285714285715,0.7881313131313131,3,8,0.375,8,152,0.05263157894736842,0,5,10,10,15,0.4
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,7,8,0.875,124,152,0.8157894736842105,0,5,10,10,15,0.4
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,7,8,0.875,127,152,0.8355263157894737,0,5,10,10,15,0.4
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,7,8,0.875,125,152,0.8223684210526315,0,5,10,10,15,0.4
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,6,8,0.75,123,152,0.8092105263157895,0,5,10,10,15,0.4
