,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,2,2,1.0,32,57,0.5614035087719298,0,5,10,10,15,0.8
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,2,2,1.0,36,57,0.631578947368421,0,5,10,10,15,0.8
RuleFit Classifier (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8101010101010101,2,2,1.0,38,57,0.6666666666666666,0,5,10,10,15,0.8
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,2,2,1.0,35,57,0.6140350877192983,0,5,10,10,15,0.8
linear svm (L),0.6716417910447762,0.5,0.8636363636363636,0.6333333333333333,0.8045454545454546,2,2,1.0,6,57,0.10526315789473684,0,5,10,10,15,0.8
non-linear svm (L),0.6716417910447762,0.5,0.6818181818181818,0.576923076923077,0.7944444444444445,1,2,0.5,2,57,0.03508771929824561,0,5,10,10,15,0.8
logistic regression (L),0.753731343283582,0.6666666666666666,0.5,0.5714285714285715,0.7878787878787878,1,2,0.5,2,57,0.03508771929824561,0,5,10,10,15,0.8
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,2,2,1.0,32,57,0.5614035087719298,0,5,10,10,15,0.8
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,2,2,1.0,35,57,0.6140350877192983,0,5,10,10,15,0.8
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,2,2,1.0,33,57,0.5789473684210527,0,5,10,10,15,0.8
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,1,2,0.5,31,57,0.543859649122807,0,5,10,10,15,0.8
