,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
3,Glucose_Low → ¬ Outcome,-1.0916425961516905,2,5,22,22,1,
5,Glucose_High → Outcome,1.2173281546639312,2,5,0,29,0,
12,BMI_Low → ¬ Outcome,-0.9891847467469896,2,4,40,40,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.503392214661636,2,2,92,92,1,
18,Age_Low → ¬ Outcome,-0.2035467298256192,2,1,87,87,1,
835,¬ Age_Medium ⊗ Pregnancies_Medium ⊗ ¬ BMI_High ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_Medium → ¬ Outcome,-0.2171710443010303,6,1,0,0,0,
4425,Glucose_High ⊗ ¬ BMI_Low ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ DiabetesPedigreeFunction_Medium → Outcome,0.3462448101538598,6,1,0,3,0,
5264,¬ Age_High ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ BMI_Medium ⊗ BloodPressure_Low → ¬ Outcome,-0.6052050208141481,7,3,10,10,1,
6388,¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ Age_Medium → ¬ Outcome,-0.3207607077135159,5,1,18,18,1,
7157,Pregnancies_Low ⊗ ¬ Glucose_High ⊗ DiabetesPedigreeFunction_Low ⊗ Age_Low ⊗ ¬ SkinThickness_Low ⊗ BloodPressure_Medium ⊗ BMI_Medium → ¬ Outcome,-0.4129438717363282,8,2,7,7,1,
7625,Pregnancies_Low ⊗ ¬ BMI_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.7544772544380787,6,3,9,9,1,
7916,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ BloodPressure_High ⊗ SkinThickness_Low → ¬ Outcome,-0.9727461616515504,6,4,3,3,1,
8229,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ ¬ Age_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.2103601903594117,7,1,0,7,0,
8358,¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ ¬ Age_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ BMI_Medium → Outcome,0.4712984314410877,7,2,0,6,0,
9793,¬ BMI_Low ⊗ BloodPressure_Medium ⊗ ¬ Glucose_Low ⊗ Age_Medium ⊗ ¬ BMI_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_High ⊗ SkinThickness_Low → Outcome,0.5810106684114569,10,2,0,3,0,
11292,¬ BMI_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Low ⊗ ¬ Pregnancies_Medium → Outcome,0.9041802379738704,5,4,0,6,0,¬
11520,¬ Pregnancies_High ⊗ Pregnancies_Medium ⊗ ¬ SkinThickness_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_Low ⊗ SkinThickness_Low ⊗ ¬ BloodPressure_High ⊗ Glucose_Medium → Outcome,0.7278212656265993,11,3,0,2,0,
