,antecedents,consequents,support,confidence,lift,antecedents_length,n_violation,n_violation (instance),n_evaluation (instance)
0,Pregnancies_Low,¬ Age_Low,0.1567164179104477,0.2406876790830945,0.7633644733049627,1,1,81,81
1,Outcome,¬ Age_Low,0.1567164179104477,0.4970414201183432,0.7633644733049626,1,,,
2,Pregnancies_Medium,Outcome,0.1026119402985074,0.4296875,1.3627958579881658,1,0,0,41
3,Outcome,Pregnancies_Medium,0.1026119402985074,0.3254437869822485,1.3627958579881656,1,,,
4,Glucose_Medium,¬ Age_Low,0.1585820895522388,0.2681388012618297,0.8504283874339688,1,1,83,83
5,Outcome,¬ Age_Low,0.1585820895522388,0.5029585798816568,0.8504283874339686,1,,,
6,Glucose_High,Outcome,0.1417910447761194,0.7378640776699029,2.3402079623140115,1,0,0,30
7,Outcome,Glucose_High,0.1417910447761194,0.4497041420118343,2.3402079623140115,1,,,
8,BloodPressure_Medium,Outcome,0.208955223880597,0.3265306122448979,1.0356237169423983,1,0,0,93
9,Outcome,BloodPressure_Medium,0.208955223880597,0.6627218934911242,1.035623716942398,1,,,
10,SkinThickness_Low,¬ Age_Low,0.1175373134328358,0.2680851063829787,0.8502580888832935,1,1,59,59
11,Outcome,¬ Age_Low,0.1175373134328358,0.3727810650887574,0.8502580888832935,1,,,
12,SkinThickness_Medium,Outcome,0.1604477611940298,0.3399209486166007,1.078092476085787,1,0,0,61
13,Outcome,SkinThickness_Medium,0.1604477611940298,0.5088757396449703,1.078092476085787,1,,,
14,BMI_Medium,Outcome,0.2220149253731343,0.3993288590604027,1.2665104642389104,1,0,0,76
15,Outcome,BMI_Medium,0.2220149253731343,0.7041420118343196,1.2665104642389104,1,,,
16,DiabetesPedigreeFunction_Low,¬ Age_Low,0.1753731343283582,0.2805970149253731,0.8899408284023669,1,1,79,79
17,Outcome,¬ Age_Low,0.1753731343283582,0.5562130177514794,0.889940828402367,1,,,
18,Age_Low,¬ Age_Low,0.1492537313432835,0.2228412256267409,0.7067627037629179,1,1,94,94
19,Outcome,¬ Age_Low,0.1492537313432835,0.4733727810650887,0.7067627037629179,1,,,
20,Age_Medium,Outcome,0.125,0.5075757575757576,1.609826071364533,1,0,0,27
21,Outcome,Age_Medium,0.125,0.3964497041420118,1.6098260713645332,1,,,
22,Pregnancies_Low ⊗ BloodPressure_Medium,¬ Age_Low,0.1026119402985074,0.2558139534883721,0.811338929406908,2,1,55,55
23,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1026119402985074,0.4910714285714286,0.754195661072452,2,,,
24,Pregnancies_Low ⊗ Outcome,BloodPressure_Medium,0.1026119402985074,0.6547619047619048,1.0231847841177286,2,,,
25,Outcome,¬ Age_Low,0.1026119402985074,0.3254437869822485,0.8113389294069079,1,,,
26,Outcome,¬ Age_Low,0.1026119402985074,0.3254437869822485,0.8113389294069079,1,,,
27,Pregnancies_Low ⊗ BMI_Medium,Outcome,0.1175373134328358,0.3405405405405405,1.0800575723652648,2,0,0,39
28,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1175373134328358,0.5294117647058824,0.8130793864823866,2,,,
29,Pregnancies_Low ⊗ Outcome,BMI_Medium,0.1175373134328358,0.75,1.348993288590604,2,,,
30,BMI_Medium,Pregnancies_Low,0.1175373134328358,0.2114093959731543,1.348993288590604,1,,,
31,BMI_Medium,Outcome,0.1175373134328358,0.2114093959731543,1.348993288590604,1,0,0,76
32,Outcome,Pregnancies_Low,0.1175373134328358,0.3727810650887574,1.0800575723652646,1,,,
33,Outcome,BMI_Medium,0.1175373134328358,0.3727810650887574,1.0800575723652646,1,,,
34,Pregnancies_Low ⊗ Outcome,Age_Low,0.1119402985074626,0.7142857142857143,1.0664544369279745,2,,,
35,Outcome ⊗ Age_Low,Pregnancies_Low,0.1119402985074626,0.7500000000000001,1.1518624641833812,2,,,
