,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,1,1,1.0,3,30,0.1,1,5,10,10,15,0.6
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,1,1,1.0,3,30,0.1,1,5,10,10,15,0.6
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,1,1,1.0,7,30,0.23333333333333334,1,5,10,10,15,0.6
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,1,1,1.0,7,30,0.23333333333333334,1,5,10,10,15,0.6
linear svm (L),0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.25330132052821125,0,1,0.0,0,30,0.0,1,5,10,10,15,0.6
non-linear svm (L),0.6791044776119403,0.5483870967741935,0.6938775510204082,0.6126126126126127,0.781032412965186,0,1,0.0,0,30,0.0,1,5,10,10,15,0.6
logistic regression (L),0.6791044776119403,0.6,0.3673469387755102,0.45569620253164556,0.7683073229291717,1,1,1.0,7,30,0.23333333333333334,1,5,10,10,15,0.6
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,1,1,1.0,6,30,0.2,1,5,10,10,15,0.6
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,1,1,1.0,6,30,0.2,1,5,10,10,15,0.6
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,1,1,1.0,6,30,0.2,1,5,10,10,15,0.6
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,0,1,0.0,0,30,0.0,1,5,10,10,15,0.6
