,rule,support,confidence,lift
1,Glucose_High → Outcome,0.1417910447761194,0.7378640776699029,2.3402079623140115
460,SkinThickness_Low Pregnancies_Low → Age_Low,0.1417910447761194,0.5066666666666667,2.026666666666667
460,SkinThickness_Low Pregnancies_Low → BMI_Low,0.1417910447761194,0.5066666666666667,2.026666666666667
462,Pregnancies_Low BMI_Low → SkinThickness_Low,0.1417910447761194,0.6280991735537189,2.1173657674515303
462,Pregnancies_Low BMI_Low → Age_Low,0.1417910447761194,0.6280991735537189,2.1173657674515303
463,Age_Low BMI_Low → SkinThickness_Low,0.1417910447761194,0.5671641791044776,2.026666666666667
463,Age_Low BMI_Low → Pregnancies_Low,0.1417910447761194,0.5671641791044776,2.026666666666667
667,DiabetesPedigreeFunction_Low Age_Low BMI_Low → SkinThickness_Low,0.1007462686567164,0.6,2.144
667,DiabetesPedigreeFunction_Low Age_Low BMI_Low → Pregnancies_Low,0.1007462686567164,0.6,2.144
668,SkinThickness_Low DiabetesPedigreeFunction_Low Age_Low → Pregnancies_Low,0.1007462686567164,0.5294117647058824,2.3451628585318423
668,SkinThickness_Low DiabetesPedigreeFunction_Low Age_Low → BMI_Low,0.1007462686567164,0.5294117647058824,2.3451628585318423
670,Pregnancies_Low DiabetesPedigreeFunction_Low BMI_Low → SkinThickness_Low,0.1007462686567164,0.675,2.275471698113208
670,Pregnancies_Low DiabetesPedigreeFunction_Low BMI_Low → Age_Low,0.1007462686567164,0.675,2.275471698113208
671,SkinThickness_Low Pregnancies_Low DiabetesPedigreeFunction_Low → Age_Low,0.1007462686567164,0.5510204081632653,2.204081632653061
671,SkinThickness_Low Pregnancies_Low DiabetesPedigreeFunction_Low → BMI_Low,0.1007462686567164,0.5510204081632653,2.204081632653061
