,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
3,Glucose_Low → ¬ Outcome,-0.4752008545974547,2,2,31,31,1,
5,Glucose_High → Outcome,1.280783723594662,2,5,0,27,0,
12,BMI_Low → ¬ Outcome,-0.6274656515012854,2,3,45,45,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4126484143496792,2,2,75,75,1,
686,¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High ⊗ BloodPressure_Low → ¬ Outcome,-0.5310150957983116,8,2,12,12,1,
3004,Glucose_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High → Outcome,0.4671840518763755,5,2,0,3,0,
3976,¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ BMI_Low ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.4257844535802342,6,2,26,26,1,
7871,¬ Age_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_High → ¬ Outcome,-0.5003583972727056,12,2,8,8,1,
8006,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.5689876452891287,10,2,3,3,1,
10415,Glucose_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.5851801711917982,4,2,28,28,1,
11061,¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_Low → Outcome,0.4290498184140054,5,2,0,3,0,
12643,¬ BMI_High ⊗ ¬ Age_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → Outcome,0.4696452193477467,7,2,0,3,0,
