,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,16,20,0.8,470,508,0.9251968503937008,2,5,10,10,15,0.2
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,14,20,0.7,477,508,0.9389763779527559,2,5,10,10,15,0.2
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,15,20,0.75,471,508,0.9271653543307087,2,5,10,10,15,0.2
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,16,20,0.8,474,508,0.9330708661417323,2,5,10,10,15,0.2
linear svm (L),0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.23122529644268774,13,20,0.65,467,508,0.9192913385826772,2,5,10,10,15,0.2
non-linear svm (L),0.7238805970149254,0.5737704918032787,0.7608695652173914,0.6542056074766355,0.8176877470355731,14,20,0.7,131,508,0.2578740157480315,2,5,10,10,15,0.2
logistic regression (L),0.7910447761194029,0.875,0.45652173913043476,0.6,0.8117588932806324,9,20,0.45,44,508,0.08661417322834646,2,5,10,10,15,0.2
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,16,20,0.8,471,508,0.9271653543307087,2,5,10,10,15,0.2
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,17,20,0.85,474,508,0.9330708661417323,2,5,10,10,15,0.2
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,16,20,0.8,472,508,0.9291338582677166,2,5,10,10,15,0.2
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,13,20,0.65,467,508,0.9192913385826772,2,5,10,10,15,0.2
