,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.3511792373952214,2,1,94,94,1,
3,Glucose_Low → ¬ Outcome,-0.4752008545974547,2,2,31,31,1,
5,Glucose_High → Outcome,1.280783723594662,2,5,0,27,0,
12,BMI_Low → ¬ Outcome,-0.6274656515012854,2,3,45,45,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4126484143496792,2,2,75,75,1,
18,Age_Low → ¬ Outcome,-0.3117510760688031,2,1,97,97,1,
686,¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High ⊗ BloodPressure_Low → ¬ Outcome,-0.5310150957983116,8,2,12,12,1,
1347,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ Age_Low ⊗ Glucose_High ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.3809523442634774,8,1,0,3,0,
2178,BMI_Medium ⊗ ¬ BloodPressure_High ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_Low ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ SkinThickness_Low ⊗ ¬ Glucose_Low → Outcome,0.2523874297541514,10,1,0,1,0,
2858,Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_High ⊗ ¬ BMI_Low ⊗ ¬ Age_High ⊗ DiabetesPedigreeFunction_Low ⊗ SkinThickness_Medium → ¬ Outcome,-0.2074321737293377,10,1,10,10,1,
3004,Glucose_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High → Outcome,0.4671840518763755,5,2,0,3,0,
3976,¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ BMI_Low ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.4257844535802342,6,2,26,26,1,
5607,BMI_Low ⊗ Pregnancies_Low ⊗ ¬ Age_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.2267984430836652,5,1,9,9,1,
6512,¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.3191286351130865,4,1,29,29,1,
7871,¬ Age_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_High → ¬ Outcome,-0.5003583972727056,12,2,8,8,1,
8006,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.5689876452891287,10,2,3,3,1,
8108,¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium → Outcome,0.2120953066354048,10,1,0,1,0,
10415,Glucose_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.5851801711917982,4,2,28,28,1,
11061,¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_Low → Outcome,0.4290498184140054,5,2,0,3,0,
12643,¬ BMI_High ⊗ ¬ Age_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → Outcome,0.4696452193477467,7,2,0,3,0,
