,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.0581915412109834,2,0,81,81,1,
3,Glucose_Low → ¬ Outcome,-1.304996306173581,2,5,21,21,1,
5,Glucose_High → Outcome,1.130443142550248,2,5,0,30,0,
12,BMI_Low → ¬ Outcome,-0.9314959976587944,2,4,40,40,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.1918804149929254,2,0,79,79,1,
18,Age_Low → ¬ Outcome,-0.5934952069268681,2,2,94,94,1,
181,¬ Pregnancies_Medium ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_High ⊗ BMI_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ Age_High → ¬ Outcome,-0.4286862939315959,7,2,17,17,1,
372,Glucose_Low ⊗ ¬ BMI_Medium → ¬ Outcome,-0.056034538175143,3,0,9,9,1,
499,Glucose_High ⊗ ¬ Age_High ⊗ ¬ BloodPressure_High ⊗ SkinThickness_High → ¬ Outcome,-0.0865279127333824,5,0,1,1,1,
603,¬ Glucose_High ⊗ DiabetesPedigreeFunction_Low ⊗ Age_Medium ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Medium ⊗ SkinThickness_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ Glucose_Low → ¬ Outcome,-0.4153802081396752,9,2,2,2,1,
1244,Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ DiabetesPedigreeFunction_Medium ⊗ ¬ SkinThickness_High → Outcome,0.1179333523696322,5,0,0,11,0,
2141,¬ BMI_Low ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BMI_High ⊗ ¬ Age_High ⊗ ¬ Age_Low → Outcome,0.1683481775461118,11,0,0,3,0,
2454,¬ Glucose_High ⊗ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Pregnancies_Low → ¬ Outcome,-0.0910045672525501,5,0,6,6,1,
2702,Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ ¬ BloodPressure_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_Medium ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.0171930416609851,8,0,8,8,1,
2787,¬ Glucose_High ⊗ Age_Low ⊗ ¬ BMI_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Glucose_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_High ⊗ ¬ BloodPressure_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.0935366084788733,12,0,0,5,0,
