,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.7366146458583434,3,5,0.6,64,107,0.5981308411214953,1,5,10,100,15,0.8
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,3,5,0.6,64,107,0.5981308411214953,1,5,10,100,15,0.8
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,5,5,1.0,70,107,0.6542056074766355,1,5,10,100,15,0.8
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,4,5,0.8,69,107,0.6448598130841121,1,5,10,100,15,0.8
linear svm (L),0.6044776119402985,0.4714285714285714,0.673469387755102,0.5546218487394957,0.6823529411764706,4,5,0.8,29,107,0.27102803738317754,1,5,10,100,15,0.8
non-linear svm (L),0.6567164179104478,0.5272727272727272,0.5918367346938775,0.5576923076923076,0.7565426170468188,4,5,0.8,13,107,0.12149532710280374,1,5,10,100,15,0.8
logistic regression (L),0.6791044776119403,0.6071428571428571,0.3469387755102041,0.4415584415584415,0.7651860744297718,4,5,0.8,18,107,0.16822429906542055,1,5,10,100,15,0.8
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,4,5,0.8,70,107,0.6542056074766355,1,5,10,100,15,0.8
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,4,5,0.8,70,107,0.6542056074766355,1,5,10,100,15,0.8
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,4,5,0.8,70,107,0.6542056074766355,1,5,10,100,15,0.8
