,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,2,2,1.0,46,72,0.6388888888888888,2,5,10,0.6,15,0.6
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,2,2,1.0,55,72,0.7638888888888888,2,5,10,0.6,15,0.6
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,2,2,1.0,48,72,0.6666666666666666,2,5,10,0.6,15,0.6
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,2,2,1.0,50,72,0.6944444444444444,2,5,10,0.6,15,0.6
linear svm (L),0.6791044776119403,0.5254237288135594,0.6739130434782609,0.5904761904761905,0.7593873517786561,2,2,1.0,12,72,0.16666666666666666,2,5,10,0.6,15,0.6
non-linear svm (L),0.6417910447761194,0.48484848484848486,0.6956521739130435,0.5714285714285715,0.7853260869565217,1,2,0.5,9,72,0.125,2,5,10,0.6,15,0.6
logistic regression (L),0.7835820895522388,0.84,0.45652173913043476,0.5915492957746479,0.8090415019762845,2,2,1.0,11,72,0.1527777777777778,2,5,10,0.6,15,0.6
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,2,2,1.0,47,72,0.6527777777777778,2,5,10,0.6,15,0.6
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,2,2,1.0,49,72,0.6805555555555556,2,5,10,0.6,15,0.6
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,2,2,1.0,48,72,0.6666666666666666,2,5,10,0.6,15,0.6
