,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,2,2,1.0,46,72,0.6388888888888888,2,5,10,50,15,0.6
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,2,2,1.0,55,72,0.7638888888888888,2,5,10,50,15,0.6
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,2,2,1.0,48,72,0.6666666666666666,2,5,10,50,15,0.6
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,2,2,1.0,50,72,0.6944444444444444,2,5,10,50,15,0.6
linear svm (L),0.7089552238805971,0.5522388059701493,0.8043478260869565,0.6548672566371682,0.7858201581027668,2,2,1.0,15,72,0.20833333333333334,2,5,10,50,15,0.6
non-linear svm (L),0.7164179104477612,0.5689655172413793,0.717391304347826,0.6346153846153846,0.8097826086956522,1,2,0.5,12,72,0.16666666666666666,2,5,10,50,15,0.6
logistic regression (L),0.7910447761194029,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.8142292490118578,2,2,1.0,10,72,0.1388888888888889,2,5,10,50,15,0.6
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,2,2,1.0,47,72,0.6527777777777778,2,5,10,50,15,0.6
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,2,2,1.0,49,72,0.6805555555555556,2,5,10,50,15,0.6
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,2,2,1.0,48,72,0.6666666666666666,2,5,10,50,15,0.6
