,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,15,15,1.0,543,711,0.7637130801687764,0,5,10,10,15,0.3
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,15,15,1.0,520,711,0.7313642756680732,0,5,10,10,15,0.3
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,15,15,1.0,525,711,0.7383966244725738,0,5,10,10,15,0.3
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,15,15,1.0,525,711,0.7383966244725738,0,5,10,10,15,0.3
linear svm (L),0.6716417910447762,0.5,0.8863636363636364,0.639344262295082,0.8032828282828284,15,15,1.0,267,711,0.3755274261603376,0,5,10,10,15,0.3
non-linear svm (L),0.753731343283582,0.6410256410256411,0.5681818181818182,0.6024096385542169,0.798989898989899,14,15,0.9333333333333333,384,711,0.540084388185654,0,5,10,10,15,0.3
logistic regression (L),0.746268656716418,0.9166666666666666,0.25,0.3928571428571429,0.8098484848484849,14,15,0.9333333333333333,472,711,0.6638537271448663,0,5,10,10,15,0.3
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,15,15,1.0,539,711,0.7580872011251758,0,5,10,10,15,0.3
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,15,15,1.0,565,711,0.7946554149085795,0,5,10,10,15,0.3
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,15,15,1.0,555,711,0.7805907172995781,0,5,10,10,15,0.3
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,4,15,0.26666666666666666,176,711,0.24753867791842477,0,5,10,10,15,0.3
