,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,1,1,1.0,1,26,0.038461538461538464,0,5,10,10,15,0.7
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,1,1,1.0,5,26,0.19230769230769232,0,5,10,10,15,0.7
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,1,1,1.0,8,26,0.3076923076923077,0,5,10,10,15,0.7
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,1,1,1.0,4,26,0.15384615384615385,0,5,10,10,15,0.7
linear svm (L),0.7313432835820896,0.58,0.6590909090909091,0.6170212765957446,0.7838383838383839,1,1,1.0,6,26,0.23076923076923078,0,5,10,10,15,0.7
non-linear svm (L),0.664179104477612,0.4918032786885246,0.6818181818181818,0.5714285714285714,0.7941919191919192,0,1,0.0,0,26,0.0,0,5,10,10,15,0.7
logistic regression (L),0.753731343283582,0.6666666666666666,0.5,0.5714285714285715,0.7881313131313131,1,1,1.0,2,26,0.07692307692307693,0,5,10,10,15,0.7
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,1,1,1.0,1,26,0.038461538461538464,0,5,10,10,15,0.7
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,1,1,1.0,4,26,0.15384615384615385,0,5,10,10,15,0.7
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,1,1,1.0,2,26,0.07692307692307693,0,5,10,10,15,0.7
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,0,1,0.0,0,26,0.0,0,5,10,10,15,0.7
