,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8156510039397439,45.4,46.0,0.9882352941176471,2734.6,3148.0,0.869051554592229,10,10,15,0
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,46.0,46.0,1.0,2634.2,3148.0,0.8379241216667724,10,10,15,0
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,46.0,46.0,1.0,2632.8,3148.0,0.8368475567770114,10,10,15,0
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,45.8,46.0,0.996078431372549,2702.4,3148.0,0.8589602266028832,10,10,15,0
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,45.4,46.0,0.9882352941176471,2726.4,3148.0,0.866151866720856,10,10,15,0
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,46.0,46.0,1.0,2803.4,3148.0,0.8898365342169223,10,10,15,0
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,46.0,46.0,1.0,2759.6,3148.0,0.8764965047789159,10,10,15,0
linear svm (L),0.617910447761194,0.4715461670367178,0.8835471626628955,0.6084621804278498,0.680065473814843,43.0,46.0,0.9267893870835048,1408.6,3148.0,0.4502708286679029,10,10,15,0
non-linear svm (L),0.6835820895522388,0.5250176180408739,0.7568151247127394,0.6072152745710506,0.7955446838639546,44.6,46.0,0.9702283011106541,1398.2,3148.0,0.44385880861929305,10,10,15,0
logistic regression (L),0.7388059701492538,0.7668831168831168,0.2915504179974908,0.4167847326336832,0.8274537060841076,45.8,46.0,0.9958333333333332,1478.0,3148.0,0.46911295238143824,10,10,15,0
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,21.2,46.0,0.4617407102701221,1573.4,3148.0,0.5005510872643882,10,10,15,0
