,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8156510039397439,0.8,1.2,0.8,2.0,29.2,0.06958247372040476,10,10,15,0.6
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,1.2,1.2,1.0,5.2,29.2,0.18567962876279304,10,10,15,0.6
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,1.2,1.2,1.0,6.2,29.2,0.2139973301433748,10,10,15,0.6
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,1.0,1.2,0.9,5.2,29.2,0.18141005414839087,10,10,15,0.6
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,0.8,1.2,0.8,2.6,29.2,0.09009332940367423,10,10,15,0.6
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,1.2,1.2,1.0,6.0,29.2,0.20465849528729857,10,10,15,0.6
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,1.2,1.2,1.0,4.6,29.2,0.15732286194760842,10,10,15,0.6
linear svm (L),0.46268656716417916,0.3997720488466757,0.8974308300395257,0.5323404519018041,0.46436340569627976,0.4,1.2,0.4,0.8,29.2,0.030484330484330486,10,10,15,0.6
non-linear svm (L),0.7029850746268657,0.5445131708779842,0.7461729116000954,0.6173826779434257,0.8251173600633361,0.0,1.2,0.0,0.0,29.2,0.0,10,10,15,0.6
logistic regression (L),0.7776119402985074,0.7568465608465609,0.48148858294474123,0.5851734571053584,0.8259710005249987,1.2,1.2,1.0,5.8,29.2,0.20058216743815124,10,10,15,0.6
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,0.0,1.2,0.0,0.0,29.2,0.0,10,10,15,0.6
