,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8156510039397439,14.6,15.2,0.9714285714285715,581.2,739.6,0.7822725325694962,10,10,15,0.3
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,15.2,15.2,1.0,548.2,739.6,0.7368347819044844,10,10,15,0.3
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,15.2,15.2,1.0,550.4,739.6,0.7407084735035708,10,10,15,0.3
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,15.0,15.2,0.9904761904761905,573.2,739.6,0.7713845453720383,10,10,15,0.3
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,14.6,15.2,0.9714285714285715,580.2,739.6,0.7803549563298919,10,10,15,0.3
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,15.2,15.2,1.0,607.4,739.6,0.8152941217614094,10,10,15,0.3
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,15.2,15.2,1.0,592.2,739.6,0.796663429102488,10,10,15,0.3
linear svm (L),0.5402985074626866,0.42957357733477136,0.8681243338728141,0.5650062864374864,0.6546509151123662,11.2,15.2,0.7127106227106228,268.6,739.6,0.35400201605662807,10,10,15,0.3
non-linear svm (L),0.7328358208955223,0.5790313478281454,0.6977007456333807,0.626487493204781,0.8151409899616002,13.8,15.2,0.9127106227106226,362.8,739.6,0.490148179533751,10,10,15,0.3
logistic regression (L),0.728358208955224,0.8287878787878789,0.21216855613660818,0.335827892553615,0.8334431063886207,14.6,15.2,0.9579487179487179,471.8,739.6,0.6505221374664236,10,10,15,0.3
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,3.8,15.2,0.24076923076923076,219.6,739.6,0.28232124365685285,10,10,15,0.3
