,rule,type,coef,support,importance
0,Pregnancies_Low,linear,-0.1658418491181688,1.0,0.0796076962745808
3,Glucose_Low,linear,-1.0898295817844716,1.0,0.44738742237988105
5,Glucose_High,linear,1.219651216220901,1.0,0.4823134872532371
8,BloodPressure_High,linear,0.16020713882220722,1.0,0.060924522786674276
12,BMI_Low,linear,-0.9889811202411066,1.0,0.4630758373028538
15,DiabetesPedigreeFunction_Low,linear,-0.5046595591915007,1.0,0.24715450835003563
18,Age_Low,linear,-0.20196215607853946,1.0,0.09398752473325969
254,Pregnancies_Medium > 0.5 & SkinThickness_Low > 0.5 & BloodPressure_Medium <= 0.5 & Glucose_Medium > 0.5,rule,-0.05531047396574358,0.026470588235294117,0.00887899302044838
371,Glucose_Low > 0.5 & Pregnancies_High <= 0.5 & BloodPressure_Medium > 0.5 & SkinThickness_High <= 0.5 & DiabetesPedigreeFunction_Low <= 0.5,rule,-0.12929398803422285,0.05014749262536873,0.028218311914203133
837,Age_Medium <= 0.5 & Pregnancies_Medium > 0.5 & BMI_High <= 0.5 & BloodPressure_Medium <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,-0.2176161802229289,0.014970059880239521,0.026425771006239246
3791,Glucose_Low > 0.5 & Age_Medium <= 0.5 & BloodPressure_High <= 0.5,rule,-0.32193668605131537,0.15501519756838905,0.11651505842072091
4110,BMI_Low <= 0.5 & Glucose_High <= 0.5 & SkinThickness_Low > 0.5 & BloodPressure_Low <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & BloodPressure_High <= 0.5 & Pregnancies_High <= 0.5 & Glucose_Low <= 0.5 & BMI_Medium > 0.5 & Pregnancies_Low <= 0.5,rule,0.007281544272932929,0.01466275659824047,0.0008752331456293116
4427,Glucose_High > 0.5 & BMI_Low <= 0.5 & SkinThickness_High <= 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,0.34294585701118324,0.043731778425655975,0.07013163955022707
5084,BMI_Medium > 0.5 & Glucose_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & Pregnancies_High <= 0.5 & SkinThickness_High <= 0.5,rule,-0.02240420327255514,0.041176470588235294,0.004451674534285928
5265,Age_High <= 0.5 & Glucose_Low <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & Glucose_High <= 0.5 & BMI_Medium > 0.5 & BloodPressure_Low > 0.5,rule,-0.6067096396671302,0.034055727554179564,0.11004036253124214
