,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8769914215686274,1,2,0.5,32,53,0.6037735849056604,3,5,10,10,100,0.8
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,2,2,1.0,33,53,0.6226415094339622,3,5,10,10,100,0.8
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,2,2,1.0,36,53,0.6792452830188679,3,5,10,10,100,0.8
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,2,2,1.0,34,53,0.6415094339622641,3,5,10,10,100,0.8
linear svm (L),0.6417910447761194,0.36666666666666664,0.6875,0.47826086956521735,0.6773897058823529,2,2,1.0,18,53,0.33962264150943394,3,5,10,10,100,0.8
non-linear svm (L),0.6940298507462687,0.43661971830985913,0.96875,0.6019417475728155,0.8872549019607843,1,2,0.5,6,53,0.11320754716981132,3,5,10,10,100,0.8
logistic regression (L),0.8283582089552238,0.6551724137931034,0.59375,0.6229508196721311,0.8961397058823529,1,2,0.5,3,53,0.05660377358490566,3,5,10,10,100,0.8
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,1,2,0.5,32,53,0.6037735849056604,3,5,10,10,100,0.8
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,2,2,1.0,36,53,0.6792452830188679,3,5,10,10,100,0.8
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,2,2,1.0,34,53,0.6415094339622641,3,5,10,10,100,0.8
