,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8159944208079397,2.2,3.0,0.78,39.8,68.8,0.5000689943672245,10,10,15,1
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,2.4,3.0,0.8800000000000001,42.8,68.8,0.5865443336588497,10,10,15,1
RuleFit Classifier (conti),0.7388059701492538,0.6125048493469546,0.5563121396906252,0.5792614239506452,0.7970177807729643,3.0,3.0,1.0,44.2,68.8,0.5702457336546563,10,10,15,1
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,2.8,3.0,0.96,43.6,68.8,0.5671179039901719,10,10,15,1
linear svm (L),0.508955223880597,0.4017055135282492,0.9148191094619665,0.5531832215962526,0.5465879634313076,2.0,3.0,0.64,22.0,68.8,0.2544206442751209,10,10,15,1
non-linear svm (L),0.7238805970149254,0.5559849644478516,0.7597598681218345,0.6398345332828093,0.8268948257484212,1.2,3.0,0.36,5.4,68.8,0.057221035307365574,10,10,15,1
logistic regression (L),0.7686567164179106,0.7164959890766343,0.4960755347467387,0.5815325842223765,0.8250611679268722,2.0,3.0,0.6799999999999999,8.0,68.8,0.11895096732014013,10,10,15,1
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,2.6,3.0,0.86,41.4,68.8,0.5206913550456599,10,10,15,1
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,2.8,3.0,0.96,44.4,68.8,0.57312682527259,10,10,15,1
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,2.8,3.0,0.96,43.2,68.8,0.5491547041942126,10,10,15,1
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,1.4,3.0,0.4,37.8,68.8,0.4735453383944785,10,10,15,1
